month,state,handgun,long_gun,multiple,gun_sales
2017-09-01,Alabama,5734.0,6320.0,317,12688.0
2017-09-01,Alaska,2320.0,2930.0,160,5570.0
2017-09-01,Arizona,11063.0,7946.0,631,20271.0
2017-09-01,Arkansas,4347.0,6063.0,366,11142.0
2017-09-01,California,37165.0,24581.0,0,61746.0
2017-09-01,Colorado,15751.0,13448.0,1062,31323.0
2017-09-01,Connecticut,4834.0,1993.0,0,6827.0
2017-09-01,Delaware,1414.0,1538.0,68,3088.0
2017-09-01,District of Columbia,56.0,4.0,0,60.0
2017-09-01,Florida,39199.0,17949.0,1721,60590.0
2017-09-01,Georgia,10933.0,7982.0,494,19903.0
2017-09-01,Guam,74.0,47.0,3,127.0
2017-09-01,Hawaii,0.0,0.0,0,0.0
2017-09-01,Idaho,3058.0,5241.0,205,8709.0
2017-09-01,Illinois,18290.0,10201.0,814,30119.0
2017-09-01,Indiana,16093.0,11332.0,597,28619.0
2017-09-01,Iowa,151.0,2640.0,1,2793.0
2017-09-01,Kansas,4518.0,5025.0,297,10137.0
2017-09-01,Kentucky,8112.0,7543.0,543,16741.0
2017-09-01,Louisiana,10495.0,11573.0,776,23620.0
2017-09-01,Maine,3026.0,4220.0,186,7618.0
2017-09-01,Mariana Islands,12.0,3.0,1,17.0
2017-09-01,Maryland,3389.0,4897.0,34,8354.0
2017-09-01,Massachusetts,4749.0,2808.0,158,7873.0
2017-09-01,Michigan,8654.0,10676.0,163,19656.0
2017-09-01,Minnesota,4862.0,12677.0,273,18085.0
2017-09-01,Mississippi,6260.0,6035.0,405,13105.0
2017-09-01,Missouri,16993.0,14395.0,991,33370.0
2017-09-01,Montana,2395.0,4878.0,216,7705.0
2017-09-01,Nebraska,110.0,1989.0,4,2107.0
2017-09-01,Nevada,3992.0,2509.0,237,6975.0
2017-09-01,New Hampshire,4410.0,3248.0,3,7664.0
2017-09-01,New Jersey,3985.0,3040.0,0,7025.0
2017-09-01,New Mexico,5309.0,4508.0,284,10385.0
2017-09-01,New York,8392.0,16213.0,185,24975.0
2017-09-01,North Carolina,1235.0,11340.0,233,13041.0
2017-09-01,North Dakota,1359.0,2919.0,82,4442.0
2017-09-01,Ohio,21085.0,14998.0,1026,38135.0
2017-09-01,Oklahoma,8869.0,9020.0,807,19503.0
2017-09-01,Oregon,11557.0,11773.0,7,23344.0
2017-09-01,Pennsylvania,39825.0,13222.0,0,53047.0
