state,"Population estimates, July 1, 2016,  (V2016)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Population, Census, April 1, 2010","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Female persons, percent,  July 1, 2016,  (V2016)","White alone, percent, July 1, 2016,  (V2016)","Black or African American alone, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons in poverty, percent","Total employment, 2015","Population per square mile, 2010",veteran_portion,employment_portion,gun_sales
Alabama,4863300.0,1.7,4779736.0,16.1,51.6,69.3,26.8,363170.0,23.5,24091.0,17.1,1634391.0,94.4,0.07467563177266465,0.33606625131083834,5058526.0
Alaska,741894.0,4.5,710231.0,10.4,47.7,66.1,3.8,69323.0,28.0,33413.0,9.9,267999.0,1.2,0.09344057237287268,0.36123624129592635,1064584.0
Arizona,6931071.0,8.4,6392017.0,16.9,50.3,83.3,4.9,505794.0,27.5,25848.0,16.4,2295186.0,56.3,0.07297486925180827,0.3311444941193071,3432188.0
Arkansas,2988248.0,2.5,2915918.0,16.3,50.9,79.4,15.7,220953.0,21.1,22798.0,17.2,1003113.0,56.0,0.07394065017361344,0.3356859939335691,2752678.0
California,39250017.0,5.4,37253956.0,13.6,50.3,72.7,6.5,1777410.0,31.4,30318.0,14.3,14325377.0,239.1,0.04528431159660389,0.36497759988231343,12263378.0
Colorado,5540545.0,10.2,5029196.0,13.4,49.7,87.5,4.5,391725.0,38.1,32217.0,11.0,2253795.0,48.5,0.07070152845974538,0.4067821847850708,5868197.0
Connecticut,3576452.0,0.1,3574097.0,16.1,51.2,80.6,11.8,199331.0,37.6,38803.0,9.8,1503102.0,738.1,0.05573428638214633,0.4202774145997206,1533404.0
Delaware,952065.0,6.0,897934.0,17.5,51.6,70.1,22.6,71213.0,30.0,30554.0,11.7,397385.0,460.8,0.07479846439056156,0.41739272003487154,466882.0
Florida,20612439.0,9.6,18801310.0,19.9,51.1,77.6,16.8,1507738.0,27.3,26829.0,14.7,7777990.0,350.6,0.07314699633556224,0.3773444763135503,10224446.0
Georgia,10310371.0,6.4,9687653.0,13.1,51.3,61.2,32.0,670617.0,28.8,25737.0,16.0,3692490.0,168.4,0.06504295529229744,0.35813357249705174,4592955.0
Hawaii,1428557.0,5.0,1360301.0,17.1,49.8,25.8,2.2,110238.0,30.8,29822.0,9.3,523677.0,211.8,0.07716737939053185,0.36657760243378457,42.0
